description,cybercrime_type,law_section,law_description
Scam involving fake password investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Fake website took my Aadhaar but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Got a fake message to update my investment details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My computer got locked with a ransom message demanding password,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Suspicious link asking for bank account and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake website took my loan but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Received abusive messages on my email account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone keeps sending me unwanted messages on loan,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Someone keeps sending me unwanted messages on Bitcoin,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Got a fake message to update my password details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Someone created a fake bank account account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Scam involving fake payment investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Got a fake message to update my photos details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone created a fake documents account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
People are spreading rumors and hateful comments on my email,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Fake website took my Bitcoin but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
My computer got locked with a ransom message demanding OTP,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Scam involving fake loan investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake website took my photos but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
